sexual_orientation,location_type,income_bracket,education_level,interest_tags,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,match_outcome,age,height_cm,weight_kg,zodiac_sign,body_type,relationship_intent,Género,Provincia
Straight,Suburban,Middle,High School,"Art, Reading, History",270,Extreme User,0.4,Balanced,50,28,2,480,75,0.3,19,Late Night,Ghosted,52,185.0,85.5,Taurus,Muscular,Serious Relationship,Hombre,Segovia
Lesbian,Remote Area,Lower-Middle,Associate’s,"Coding, Tech, Music",10,Very Low,0.7,Swipe Maniac,125,13,4,30,10,0.55,23,After Midnight,Blocked,30,160.0,57.4,Gemini,Slim,Networking,Mujer,Segovia
Pansexual,Urban,High,PhD,"Binge-Watching, Gaming, Tattoos",160,Addicted,0.3,Balanced,170,26,3,150,80,0.2,16,Afternoon,Chat Ignored,45,175.0,75.0,Cancer,Curvy,Exploring,Hombre,Lugo
Queer,Small Town,Middle,Master’s,"DIY, Motorcycling, Pets",240,Extreme User,0.5,Optimistic,145,19,6,400,5,0.45,17,Evening,Mutual Match,35,170.0,68.7,Leo,Muscular,Casual Dating,Mujer,Málaga
Asexual,Rural,Upper-Middle,Bachelor’s,"Investing, Yoga, Stand-up Comedy",100,High,0.65,Optimistic,185,22,1,10,75,0.3,2,Early Morning,One-sided Like,52,185.0,85.5,Virgo,Slim,Friends Only,Mujer,Toledo
Demisexual,Metro,Low,Postdoc,"Social Activism, Art, Binge-Watching",270,Extreme User,0.4,Balanced,50,15,5,480,10,0.55,19,Late Night,Date Happened,30,160.0,57.4,Libra,Curvy,Serious Relationship,No binario,Ávila
Pansexual,Suburban,Very High,MBA,"Traveling, Photography, Cars",10,Very Low,0.7,Swipe Maniac,125,24,2,30,80,0.2,23,After Midnight,Relationship Formed,45,175.0,75.0,Scorpio,Muscular,Networking,Mujer,Bizkaia
Gay,Remote Area,Middle,High School,"Gardening, Music, Meditation",160,Addicted,0.3,Balanced,170,18,4,150,5,0.45,16,Afternoon,Ghosted,35,170.0,68.7,Sagittarius,Slim,Exploring,No binario,Zaragoza
Lesbian,Urban,Lower-Middle,Associate’s,"History, Gaming, DIY",240,Extreme User,0.5,Optimistic,145,20,3,400,75,0.3,17,Evening,Blocked,52,185.0,85.5,Capricorn,Curvy,Casual Dating,Hombre,Albacete
Pansexual,Small Town,Upper-Middle,PhD,"Pets, Yoga, Investing",100,High,0.65,Optimistic,185,13,6,10,10,0.55,2,Early Morning,Chat Ignored,30,160.0,57.4,Aquarius,Muscular,Hookups,Hombre,Castellón
Straight,Rural,Low,Master’s,"Running, Clubbing, Fashion",270,Extreme User,0.4,Balanced,50,26,1,480,80,0.2,19,Late Night,Mutual Match,45,175.0,75.0,Pisces,Slim,Friends Only,Hombre,Granada
Bisexual,Metro,Middle,Bachelor’s,"Stand-up Comedy, Traveling, Foodie",10,Very Low,0.7,Swipe Maniac,125,19,5,30,5,0.45,23,After Midnight,One-sided Like,35,170.0,68.7,Aries,Curvy,Serious Relationship,No binario,Guadalajara
Asexual,Suburban,High,Postdoc,"Art, Reading, History",160,Addicted,0.3,Balanced,170,22,2,150,75,0.3,16,Afternoon,Date Happened,52,185.0,85.5,Taurus,Muscular,Networking,Hombre,Zamora
Demisexual,Remote Area,Very High,MBA,"Coding, Tech, Music",240,Extreme User,0.5,Optimistic,145,15,4,400,10,0.55,17,Evening,Relationship Formed,30,160.0,57.4,Gemini,Slim,Exploring,Mujer,Cantabria
Queer,Urban,Middle,High School,"Binge-Watching, Gaming, Tattoos",100,High,0.65,Optimistic,185,24,3,10,80,0.2,2,Early Morning,Ghosted,45,175.0,75.0,Cancer,Curvy,Casual Dating,Hombre,Alicante
Lesbian,Small Town,Lower-Middle,Associate’s,"DIY, Motorcycling, Pets",270,Extreme User,0.4,Balanced,50,18,6,480,5,0.45,19,Late Night,Blocked,35,170.0,68.7,Leo,Muscular,Hookups,Hombre,Almería
Pansexual,Rural,Upper-Middle,PhD,"Investing, Yoga, Stand-up Comedy",10,Very Low,0.7,Swipe Maniac,125,20,1,30,75,0.3,23,After Midnight,Chat Ignored,52,185.0,85.5,Virgo,Slim,Friends Only,Mujer,Segovia
Straight,Metro,Low,Master’s,"Social Activism, Art, Binge-Watching",160,Addicted,0.3,Balanced,170,13,5,150,10,0.55,16,Afternoon,Mutual Match,30,160.0,57.4,Libra,Curvy,Serious Relationship,Mujer,Murcia
Asexual,Suburban,Middle,Bachelor’s,"Traveling, Photography, Cars",240,Extreme User,0.5,Optimistic,145,26,2,400,80,0.2,17,Evening,One-sided Like,45,175.0,75.0,Scorpio,Muscular,Networking,Mujer,Lugo
Demisexual,Remote Area,Very High,Postdoc,"Gardening, Music, Meditation",100,High,0.65,Optimistic,185,19,4,10,5,0.45,2,Early Morning,Date Happened,35,170.0,68.7,Sagittarius,Slim,Exploring,Hombre,Granada
Queer,Urban,Low,MBA,"History, Gaming, DIY",270,Extreme User,0.4,Balanced,50,22,3,480,75,0.3,19,Late Night,Relationship Formed,52,185.0,85.5,Capricorn,Curvy,Casual Dating,Mujer,Madrid
Pansexual,Small Town,Upper-Middle,High School,"Pets, Yoga, Investing",10,Very Low,0.7,Swipe Maniac,125,15,6,30,10,0.55,23,After Midnight,Ghosted,30,160.0,57.4,Aquarius,Muscular,Hookups,Hombre,Jaén
Straight,Rural,Middle,Associate’s,"Running, Clubbing, Fashion",160,Addicted,0.3,Balanced,170,24,1,150,80,0.2,16,Afternoon,Blocked,45,175.0,75.0,Pisces,Slim,Friends Only,Hombre,Álava
Lesbian,Metro,Very High,PhD,"Stand-up Comedy, Traveling, Foodie",240,Extreme User,0.5,Optimistic,145,18,5,400,5,0.45,17,Evening,Chat Ignored,35,170.0,68.7,Aries,Curvy,Serious Relationship,No binario,Cádiz
Bisexual,Suburban,Low,Master’s,"Art, Reading, History",100,High,0.65,Optimistic,185,20,2,10,75,0.3,2,Early Morning,Mutual Match,52,185.0,85.5,Taurus,Muscular,Networking,Hombre,Ávila
Pansexual,Remote Area,Middle,Bachelor’s,"Coding, Tech, Music",270,Extreme User,0.4,Balanced,50,13,4,480,10,0.55,19,Late Night,One-sided Like,30,160.0,57.4,Gemini,Slim,Exploring,Hombre,La Rioja
Gay,Urban,Upper-Middle,Postdoc,"Binge-Watching, Gaming, Tattoos",10,Very Low,0.7,Swipe Maniac,125,26,3,30,80,0.2,23,After Midnight,Date Happened,45,175.0,75.0,Cancer,Curvy,Casual Dating,Mujer,Sevilla
Asexual,Small Town,Very Low,MBA,"DIY, Motorcycling, Pets",160,Addicted,0.3,Balanced,170,19,6,150,5,0.45,16,Afternoon,Relationship Formed,35,170.0,68.7,Leo,Muscular,Hookups,Mujer,Girona
Demisexual,Rural,High,High School,"Investing, Yoga, Stand-up Comedy",240,Extreme User,0.5,Optimistic,145,22,1,400,75,0.3,17,Evening,Ghosted,52,185.0,85.5,Virgo,Slim,Friends Only,Mujer,Teruel
Straight,Metro,Middle,Associate’s,"Social Activism, Art, Binge-Watching",100,High,0.65,Optimistic,185,15,5,10,10,0.55,2,Early Morning,Blocked,30,160.0,57.4,Libra,Curvy,Serious Relationship,Mujer,Castellón
Pansexual,Suburban,Very High,PhD,"Traveling, Photography, Cars",270,Extreme User,0.4,Balanced,50,28,2,480,80,0.2,19,Late Night,Chat Ignored,45,175.0,75.0,Scorpio,Muscular,Networking,No binario,Lugo
Gay,Remote Area,Low,Master’s,"Gardening, Music, Meditation",10,Very Low,0.7,Swipe Maniac,125,13,4,30,5,0.45,23,After Midnight,Mutual Match,35,170.0,68.7,Sagittarius,Slim,Exploring,Mujer,Pontevedra
Lesbian,Urban,Middle,Bachelor’s,"History, Gaming, DIY",160,Addicted,0.3,Balanced,170,26,3,150,75,0.3,16,Afternoon,One-sided Like,52,185.0,85.5,Capricorn,Curvy,Casual Dating,Mujer,Cuenca
Pansexual,Small Town,Upper-Middle,Postdoc,"Pets, Yoga, Investing",240,Extreme User,0.5,Optimistic,145,19,6,400,10,0.55,17,Evening,Date Happened,30,160.0,57.4,Aquarius,Muscular,Hookups,Hombre,Burgos
Asexual,Rural,Very Low,MBA,"Running, Clubbing, Fashion",100,High,0.65,Optimistic,185,22,1,10,80,0.2,2,Early Morning,Relationship Formed,45,175.0,75.0,Pisces,Slim,Friends Only,Hombre,Palencia
Demisexual,Metro,High,High School,"Stand-up Comedy, Traveling, Foodie",270,Extreme User,0.4,Balanced,50,15,5,480,5,0.45,19,Late Night,Ghosted,35,170.0,68.7,Aries,Curvy,Serious Relationship,Hombre,Zaragoza
Pansexual,Suburban,Middle,Associate’s,"Art, Reading, History",10,Very Low,0.7,Swipe Maniac,125,24,2,30,75,0.3,23,After Midnight,Blocked,52,185.0,85.5,Taurus,Muscular,Networking,Hombre,Illes Balears
Bisexual,Remote Area,Upper-Middle,PhD,"Coding, Tech, Music",160,Addicted,0.3,Balanced,170,18,4,150,10,0.55,16,Afternoon,Chat Ignored,30,160.0,57.4,Gemini,Slim,Exploring,Mujer,Las Palmas
Gay,Urban,Low,Master’s,"Binge-Watching, Gaming, Tattoos",240,Extreme User,0.5,Optimistic,145,20,3,400,80,0.2,17,Evening,Mutual Match,45,175.0,75.0,Cancer,Curvy,Casual Dating,Hombre,Badajoz
Asexual,Small Town,Very High,Bachelor’s,"DIY, Motorcycling, Pets",100,High,0.65,Optimistic,185,13,6,10,5,0.45,2,Early Morning,One-sided Like,35,170.0,68.7,Leo,Muscular,Hookups,Hombre,Lleida
Demisexual,Rural,Middle,Postdoc,"Investing, Yoga, Stand-up Comedy",270,Extreme User,0.4,Balanced,50,26,1,480,75,0.3,19,Late Night,Date Happened,52,185.0,85.5,Virgo,Slim,Friends Only,Mujer,Cuenca
Straight,Metro,Upper-Middle,MBA,"Social Activism, Art, Binge-Watching",10,Very Low,0.7,Swipe Maniac,125,19,5,30,10,0.55,23,After Midnight,Relationship Formed,30,160.0,57.4,Libra,Curvy,Serious Relationship,Hombre,La Coruña
Queer,Suburban,Low,High School,"Traveling, Photography, Cars",160,Addicted,0.3,Balanced,170,22,2,150,80,0.2,16,Afternoon,Ghosted,45,175.0,75.0,Scorpio,Muscular,Networking,Mujer,Ávila
Asexual,Remote Area,Very Low,Associate’s,"Gardening, Music, Meditation",240,Extreme User,0.5,Optimistic,145,15,4,400,5,0.45,17,Evening,Blocked,35,170.0,68.7,Sagittarius,Slim,Exploring,Mujer,Santa Cruz de Tenerife
Bisexual,Urban,Very High,PhD,"History, Gaming, DIY",100,High,0.65,Optimistic,185,24,3,10,75,0.3,2,Early Morning,Chat Ignored,52,185.0,85.5,Capricorn,Curvy,Casual Dating,Mujer,Lleida
Pansexual,Small Town,Middle,Master’s,"Pets, Yoga, Investing",270,Extreme User,0.4,Balanced,50,18,6,480,10,0.55,19,Late Night,Mutual Match,30,160.0,57.4,Aquarius,Muscular,Hookups,Hombre,La Coruña
Straight,Rural,Upper-Middle,Bachelor’s,"Running, Clubbing, Fashion",10,Very Low,0.7,Swipe Maniac,125,20,1,30,80,0.2,23,After Midnight,One-sided Like,45,175.0,75.0,Pisces,Slim,Friends Only,Hombre,Soria
Gay,Metro,Low,Postdoc,"Stand-up Comedy, Traveling, Foodie",160,Addicted,0.3,Balanced,170,13,5,150,5,0.45,16,Afternoon,Date Happened,35,170.0,68.7,Aries,Curvy,Serious Relationship,Hombre,Murcia
Bisexual,Suburban,Very High,MBA,"Art, Reading, History",240,Extreme User,0.5,Optimistic,145,26,2,400,75,0.3,17,Evening,Relationship Formed,52,185.0,85.5,Taurus,Muscular,Networking,Hombre,Illes Balears
Pansexual,Remote Area,Middle,High School,"Coding, Tech, Music",100,High,0.65,Optimistic,185,19,4,10,10,0.55,2,Early Morning,Ghosted,30,160.0,57.4,Gemini,Slim,Exploring,Hombre,Córdoba
Queer,Urban,Upper-Middle,Associate’s,"Binge-Watching, Gaming, Tattoos",270,Extreme User,0.4,Balanced,50,22,3,480,80,0.2,19,Late Night,Blocked,45,175.0,75.0,Cancer,Curvy,Casual Dating,Mujer,Segovia
Lesbian,Small Town,Low,PhD,"DIY, Motorcycling, Pets",10,Very Low,0.7,Swipe Maniac,125,15,6,30,5,0.45,23,After Midnight,Chat Ignored,35,170.0,68.7,Leo,Muscular,Hookups,Hombre,Guadalajara
Pansexual,Rural,Upper-Middle,Master’s,"Investing, Yoga, Stand-up Comedy",160,Addicted,0.3,Balanced,170,24,1,150,75,0.3,16,Afternoon,Mutual Match,52,185.0,85.5,Virgo,Slim,Friends Only,Hombre,Cáceres
Straight,Metro,Middle,Bachelor’s,"Social Activism, Art, Binge-Watching",240,Extreme User,0.5,Optimistic,145,18,5,400,10,0.55,17,Evening,One-sided Like,30,160.0,57.4,Libra,Curvy,Serious Relationship,Mujer,Pontevedra
Asexual,Suburban,Very Low,Postdoc,"Traveling, Photography, Cars",100,High,0.65,Optimistic,185,20,2,10,80,0.2,2,Early Morning,Date Happened,45,175.0,75.0,Scorpio,Muscular,Networking,Hombre,Girona
Demisexual,Remote Area,High,MBA,"Gardening, Music, Meditation",270,Extreme User,0.4,Balanced,50,13,4,480,5,0.45,19,Late Night,Relationship Formed,35,170.0,68.7,Sagittarius,Slim,Exploring,Hombre,Madrid
Bisexual,Urban,Middle,High School,"History, Gaming, DIY",10,Very Low,0.7,Swipe Maniac,125,26,3,30,75,0.3,23,After Midnight,Ghosted,52,185.0,85.5,Capricorn,Curvy,Casual Dating,Mujer,Teruel
Pansexual,Small Town,Upper-Middle,Associate’s,"Pets, Yoga, Investing",160,Addicted,0.3,Balanced,170,19,6,150,10,0.55,16,Afternoon,Blocked,30,160.0,57.4,Aquarius,Muscular,Hookups,Hombre,Zamora
Asexual,Rural,Very High,PhD,"Running, Clubbing, Fashion",240,Extreme User,0.5,Optimistic,145,22,1,400,80,0.2,17,Evening,Chat Ignored,45,175.0,75.0,Pisces,Slim,Friends Only,Mujer,Tarragona
Demisexual,Metro,Low,Master’s,"Stand-up Comedy, Traveling, Foodie",100,High,0.65,Optimistic,185,15,5,10,5,0.45,2,Early Morning,Mutual Match,35,170.0,68.7,Aries,Curvy,Serious Relationship,Hombre,Ciudad Real
Pansexual,Suburban,Middle,Bachelor’s,"Art, Reading, History",270,Extreme User,0.4,Balanced,50,28,2,480,75,0.3,19,Late Night,One-sided Like,52,185.0,85.5,Taurus,Muscular,Networking,Hombre,Valencia
Bisexual,Remote Area,Upper-Middle,Postdoc,"Coding, Tech, Music",10,Very Low,0.7,Swipe Maniac,125,13,4,30,10,0.55,23,After Midnight,Date Happened,30,160.0,57.4,Gemini,Slim,Exploring,No binario,La Rioja
Gay,Urban,Low,MBA,"Binge-Watching, Gaming, Tattoos",160,Addicted,0.3,Balanced,170,26,3,150,80,0.2,16,Afternoon,Relationship Formed,45,175.0,75.0,Cancer,Curvy,Casual Dating,Mujer,Málaga
Asexual,Small Town,Very High,High School,"DIY, Motorcycling, Pets",240,Extreme User,0.5,Optimistic,145,19,6,400,5,0.45,17,Evening,Ghosted,35,170.0,68.7,Leo,Muscular,Hookups,Mujer,Illes Balears
Demisexual,Rural,Middle,Associate’s,"Investing, Yoga, Stand-up Comedy",100,High,0.65,Optimistic,185,22,1,10,75,0.3,2,Early Morning,Blocked,52,185.0,85.5,Virgo,Slim,Friends Only,Mujer,Badajoz
Straight,Metro,Upper-Middle,PhD,"Social Activism, Art, Binge-Watching",270,Extreme User,0.4,Balanced,50,15,5,480,10,0.55,19,Late Night,Chat Ignored,30,160.0,57.4,Libra,Curvy,Serious Relationship,Hombre,La Coruña
Queer,Suburban,Low,Master’s,"Traveling, Photography, Cars",10,Very Low,0.7,Swipe Maniac,125,24,2,30,80,0.2,23,After Midnight,Mutual Match,45,175.0,75.0,Scorpio,Muscular,Networking,Mujer,Teruel
Asexual,Remote Area,High,Bachelor’s,"Gardening, Music, Meditation",160,Addicted,0.3,Balanced,170,18,4,150,5,0.45,16,Afternoon,One-sided Like,35,170.0,68.7,Sagittarius,Slim,Exploring,Hombre,Ávila
Bisexual,Urban,Middle,Postdoc,"History, Gaming, DIY",240,Extreme User,0.5,Optimistic,145,20,3,400,75,0.3,17,Evening,Date Happened,52,185.0,85.5,Capricorn,Curvy,Casual Dating,Hombre,Granada
Pansexual,Small Town,Upper-Middle,MBA,"Pets, Yoga, Investing",100,High,0.65,Optimistic,185,13,6,10,10,0.55,2,Early Morning,Relationship Formed,30,160.0,57.4,Aquarius,Muscular,Hookups,No binario,Cantabria
Asexual,Rural,Low,High School,"Running, Clubbing, Fashion",270,Extreme User,0.4,Balanced,50,26,1,480,80,0.2,19,Late Night,Ghosted,45,175.0,75.0,Pisces,Slim,Friends Only,No binario,Barcelona
Demisexual,Metro,Middle,Associate’s,"Stand-up Comedy, Traveling, Foodie",10,Very Low,0.7,Swipe Maniac,125,19,5,30,5,0.45,23,After Midnight,Blocked,35,170.0,68.7,Aries,Curvy,Serious Relationship,Mujer,Cádiz
Pansexual,Suburban,Very High,PhD,"Art, Reading, History",160,Addicted,0.3,Balanced,170,22,2,150,75,0.3,16,Afternoon,Chat Ignored,52,185.0,85.5,Taurus,Muscular,Networking,Hombre,Castellón
Bisexual,Remote Area,Low,Master’s,"Coding, Tech, Music",240,Extreme User,0.5,Optimistic,145,15,4,400,10,0.55,17,Evening,Mutual Match,30,160.0,57.4,Gemini,Slim,Exploring,Mujer,Pontevedra
Gay,Urban,Upper-Middle,Bachelor’s,"Binge-Watching, Gaming, Tattoos",100,High,0.65,Optimistic,185,24,3,10,80,0.2,2,Early Morning,One-sided Like,45,175.0,75.0,Cancer,Curvy,Casual Dating,Hombre,Bizkaia
Asexual,Small Town,Middle,Postdoc,"DIY, Motorcycling, Pets",270,Extreme User,0.4,Balanced,50,18,6,480,5,0.45,19,Late Night,Date Happened,35,170.0,68.7,Leo,Muscular,Hookups,Mujer,Barcelona
Demisexual,Rural,Very High,MBA,"Investing, Yoga, Stand-up Comedy",10,Very Low,0.7,Swipe Maniac,125,20,1,30,75,0.3,23,After Midnight,Relationship Formed,52,185.0,85.5,Virgo,Slim,Friends Only,Hombre,Álava
Straight,Metro,Low,High School,"Social Activism, Art, Binge-Watching",160,Addicted,0.3,Balanced,170,13,5,150,10,0.55,16,Afternoon,Ghosted,30,160.0,57.4,Libra,Curvy,Serious Relationship,Hombre,Bizkaia
Queer,Suburban,Upper-Middle,Associate’s,"Traveling, Photography, Cars",240,Extreme User,0.5,Optimistic,145,26,2,400,80,0.2,17,Evening,Blocked,45,175.0,75.0,Scorpio,Muscular,Networking,Hombre,Huelva
Asexual,Remote Area,Middle,PhD,"Gardening, Music, Meditation",100,High,0.65,Optimistic,185,19,4,10,5,0.45,2,Early Morning,Chat Ignored,35,170.0,68.7,Sagittarius,Slim,Exploring,No binario,Albacete
Bisexual,Urban,Very High,Master’s,"History, Gaming, DIY",270,Extreme User,0.4,Balanced,50,22,3,480,75,0.3,19,Late Night,Mutual Match,52,185.0,85.5,Capricorn,Curvy,Casual Dating,Hombre,Huesca
Pansexual,Small Town,Low,Bachelor’s,"Pets, Yoga, Investing",10,Very Low,0.7,Swipe Maniac,125,15,6,30,10,0.55,23,After Midnight,One-sided Like,30,160.0,57.4,Aquarius,Muscular,Hookups,Hombre,Palencia
Straight,Rural,Upper-Middle,Postdoc,"Running, Clubbing, Fashion",160,Addicted,0.3,Balanced,170,24,1,150,80,0.2,16,Afternoon,Date Happened,45,175.0,75.0,Pisces,Slim,Friends Only,Hombre,Castellón
Demisexual,Metro,Middle,MBA,"Stand-up Comedy, Traveling, Foodie",240,Extreme User,0.5,Optimistic,145,18,5,400,5,0.45,17,Evening,Relationship Formed,35,170.0,68.7,Aries,Curvy,Serious Relationship,Mujer,Córdoba
Pansexual,Suburban,Low,High School,"Art, Reading, History",100,High,0.65,Optimistic,185,20,2,10,75,0.3,2,Early Morning,Ghosted,52,185.0,85.5,Taurus,Muscular,Networking,Mujer,Toledo
Bisexual,Remote Area,Very High,Associate’s,"Coding, Tech, Music",270,Extreme User,0.4,Balanced,50,13,4,480,10,0.55,19,Late Night,Blocked,30,160.0,57.4,Gemini,Slim,Exploring,Mujer,Almería
Gay,Urban,Middle,PhD,"Binge-Watching, Gaming, Tattoos",10,Very Low,0.7,Swipe Maniac,125,26,3,30,80,0.2,23,After Midnight,Chat Ignored,45,175.0,75.0,Cancer,Curvy,Casual Dating,Mujer,Alicante
Asexual,Small Town,Upper-Middle,Master’s,"DIY, Motorcycling, Pets",160,Addicted,0.3,Balanced,170,19,6,150,5,0.45,16,Afternoon,Mutual Match,35,170.0,68.7,Leo,Muscular,Hookups,Mujer,Huesca
Demisexual,Rural,Low,Bachelor’s,"Investing, Yoga, Stand-up Comedy",240,Extreme User,0.5,Optimistic,145,22,1,400,75,0.3,17,Evening,One-sided Like,52,185.0,85.5,Virgo,Slim,Friends Only,Mujer,Castellón
Straight,Metro,Very High,Postdoc,"Social Activism, Art, Binge-Watching",100,High,0.65,Optimistic,185,15,5,10,10,0.55,2,Early Morning,Date Happened,30,160.0,57.4,Libra,Curvy,Serious Relationship,Hombre,Toledo
Queer,Suburban,Middle,MBA,"Traveling, Photography, Cars",270,Extreme User,0.4,Balanced,50,28,2,480,80,0.2,19,Late Night,Relationship Formed,45,175.0,75.0,Scorpio,Muscular,Networking,Mujer,Bizkaia
Asexual,Remote Area,Upper-Middle,High School,"Gardening, Music, Meditation",10,Very Low,0.7,Swipe Maniac,125,13,4,30,5,0.45,23,After Midnight,Ghosted,35,170.0,68.7,Sagittarius,Slim,Exploring,Mujer,Cantabria
Bisexual,Urban,Low,Associate’s,"History, Gaming, DIY",160,Addicted,0.3,Balanced,170,26,3,150,75,0.3,16,Afternoon,Blocked,52,185.0,85.5,Capricorn,Curvy,Casual Dating,No binario,Cádiz
Pansexual,Small Town,Middle,PhD,"Pets, Yoga, Investing",240,Extreme User,0.5,Optimistic,145,19,6,400,10,0.55,17,Evening,Chat Ignored,30,160.0,57.4,Aquarius,Muscular,Hookups,Mujer,Illes Balears
Straight,Rural,Very High,Master’s,"Running, Clubbing, Fashion",100,High,0.65,Optimistic,185,22,1,10,80,0.2,2,Early Morning,Mutual Match,45,175.0,75.0,Pisces,Slim,Friends Only,Hombre,Cantabria
Demisexual,Metro,Middle,Bachelor’s,"Stand-up Comedy, Traveling, Foodie",270,Extreme User,0.4,Balanced,50,15,5,480,5,0.45,19,Late Night,One-sided Like,35,170.0,68.7,Aries,Curvy,Serious Relationship,Hombre,Bizkaia
Pansexual,Suburban,Low,Postdoc,"Art, Reading, History",10,Very Low,0.7,Swipe Maniac,125,24,2,30,75,0.3,23,After Midnight,Date Happened,52,185.0,85.5,Taurus,Muscular,Networking,Mujer,Palencia
Bisexual,Remote Area,High,MBA,"Coding, Tech, Music",160,Addicted,0.3,Balanced,170,18,4,150,10,0.55,16,Afternoon,Relationship Formed,30,160.0,57.4,Gemini,Slim,Exploring,Hombre,Zaragoza
Gay,Urban,Upper-Middle,High School,"Binge-Watching, Gaming, Tattoos",240,Extreme User,0.5,Optimistic,145,20,3,400,80,0.2,17,Evening,Ghosted,45,175.0,75.0,Cancer,Curvy,Casual Dating,No binario,Palencia
Asexual,Small Town,Middle,Associate’s,"DIY, Motorcycling, Pets",100,High,0.65,Optimistic,185,13,6,10,5,0.45,2,Early Morning,Blocked,35,170.0,68.7,Leo,Muscular,Hookups,Mujer,Cáceres
Demisexual,Rural,Low,PhD,"Investing, Yoga, Stand-up Comedy",270,Extreme User,0.4,Balanced,50,26,1,480,75,0.3,19,Late Night,Chat Ignored,52,185.0,85.5,Virgo,Slim,Friends Only,Mujer,Navarra
Straight,Metro,Very High,Master’s,"Social Activism, Art, Binge-Watching",10,Very Low,0.7,Swipe Maniac,125,19,5,30,10,0.55,23,After Midnight,Mutual Match,30,160.0,57.4,Libra,Curvy,Serious Relationship,No binario,Zamora
Queer,Suburban,Middle,Bachelor’s,"Traveling, Photography, Cars",160,Addicted,0.3,Balanced,170,22,2,150,80,0.2,16,Afternoon,One-sided Like,45,175.0,75.0,Scorpio,Muscular,Networking,Hombre,Huesca
Asexual,Remote Area,Upper-Middle,Postdoc,"Gardening, Music, Meditation",240,Extreme User,0.5,Optimistic,145,15,4,400,5,0.45,17,Evening,Date Happened,35,170.0,68.7,Sagittarius,Slim,Exploring,Mujer,Zaragoza
Bisexual,Urban,Low,MBA,"History, Gaming, DIY",100,High,0.65,Optimistic,185,24,3,10,75,0.3,2,Early Morning,Relationship Formed,52,185.0,85.5,Capricorn,Curvy,Casual Dating,Hombre,Teruel
Pansexual,Small Town,Middle,High School,"Pets, Yoga, Investing",270,Extreme User,0.4,Balanced,50,18,6,480,10,0.55,19,Late Night,Ghosted,30,160.0,57.4,Aquarius,Muscular,Hookups,Hombre,Cuenca
Straight,Rural,Upper-Middle,Associate’s,"Running, Clubbing, Fashion",10,Very Low,0.7,Swipe Maniac,125,20,1,30,80,0.2,23,After Midnight,Blocked,45,175.0,75.0,Pisces,Slim,Friends Only,Hombre,Pontevedra
Demisexual,Metro,Very Low,PhD,"Stand-up Comedy, Traveling, Foodie",160,Addicted,0.3,Balanced,170,13,5,150,5,0.45,16,Afternoon,Chat Ignored,35,170.0,68.7,Aries,Curvy,Serious Relationship,Mujer,Las Palmas
Pansexual,Suburban,Middle,Master’s,"Art, Reading, History",240,Extreme User,0.5,Optimistic,145,26,2,400,75,0.3,17,Evening,Mutual Match,52,185.0,85.5,Taurus,Muscular,Networking,Hombre,Girona
Bisexual,Remote Area,Low,Bachelor’s,"Coding, Tech, Music",100,High,0.65,Optimistic,185,19,4,10,10,0.55,2,Early Morning,One-sided Like,30,160.0,57.4,Gemini,Slim,Exploring,Hombre,Cádiz
Gay,Urban,Upper-Middle,Postdoc,"Binge-Watching, Gaming, Tattoos",270,Extreme User,0.4,Balanced,50,22,3,480,80,0.2,19,Late Night,Date Happened,45,175.0,75.0,Cancer,Curvy,Casual Dating,Hombre,Soria
Asexual,Small Town,Middle,MBA,"DIY, Motorcycling, Pets",10,Very Low,0.7,Swipe Maniac,125,15,6,30,5,0.45,23,After Midnight,Relationship Formed,35,170.0,68.7,Leo,Muscular,Hookups,Hombre,Ávila
Demisexual,Rural,Very High,High School,"Investing, Yoga, Stand-up Comedy",160,Addicted,0.3,Balanced,170,24,1,150,75,0.3,16,Afternoon,Ghosted,52,185.0,85.5,Virgo,Slim,Friends Only,Mujer,Palencia
Straight,Metro,Middle,Associate’s,"Social Activism, Art, Binge-Watching",240,Extreme User,0.5,Optimistic,145,18,5,400,10,0.55,17,Evening,Blocked,30,160.0,57.4,Libra,Curvy,Serious Relationship,Mujer,Illes Balears
Queer,Suburban,Low,PhD,"Traveling, Photography, Cars",100,High,0.65,Optimistic,185,20,2,10,80,0.2,2,Early Morning,Chat Ignored,45,175.0,75.0,Scorpio,Muscular,Networking,Mujer,Cantabria
Asexual,Remote Area,Upper-Middle,Master’s,"Gardening, Music, Meditation",270,Extreme User,0.4,Balanced,50,13,4,480,5,0.45,19,Late Night,Mutual Match,35,170.0,68.7,Sagittarius,Slim,Exploring,Hombre,Salamanca
Bisexual,Urban,Middle,Bachelor’s,"History, Gaming, DIY",10,Very Low,0.7,Swipe Maniac,125,26,3,30,75,0.3,23,After Midnight,One-sided Like,52,185.0,85.5,Capricorn,Curvy,Casual Dating,Hombre,Cáceres
Pansexual,Small Town,Very High,Postdoc,"Pets, Yoga, Investing",160,Addicted,0.3,Balanced,170,19,6,150,10,0.55,16,Afternoon,Date Happened,30,160.0,57.4,Aquarius,Muscular,Hookups,Mujer,Granada
